Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
RefSeq,CNNNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Validation,[42292 11101 10984  6998  8944  3085  2092  5878 10096],[35418 14590 16136  9301 12491  2561  5649  1714  5649],[104029 169125 165903 180557 177184 188469 192614 179248 179194],[23240 10163 11956  8123  6360 10864  4624 18139 10040],"[0.7138341  0.87924129 0.86295181 0.91499617 0.90803448 0.93450549
 0.94988267 0.90314618 0.92346045]","[0.6453641  0.52205606 0.4788143  0.46280008 0.58442237 0.22116281
 0.31149494 0.24474331 0.50139054]","[0.54422854 0.43209684 0.40501475 0.42935149 0.41726149 0.54640453
 0.27024932 0.77423604 0.64121943]","[0.74601103 0.92058351 0.91135965 0.95101076 0.93414525 0.98659373
 0.97150754 0.9905284  0.96943893]","[0.5904972  0.47283569 0.4388334  0.44544876 0.48689404 0.31487624
 0.28940997 0.37191939 0.56274909]",0.8610326886328463,4.018028497695923,151.64623737335205

RefSeq,CNNNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Test,[23592 11743 12397  7853 14682 10552 11942  9100 10994],[40791 12786 18228  8201 17714  4075  3218   960  5934],[132351 190763 182404 197278 184493 200299 198791 203749 196061],[28028  9470 11733 11430  7873  9836 10811 10953 11773],"[0.6938139  0.9009797  0.866699   0.91265872 0.88615958 0.93810787
 0.93758287 0.94699727 0.92121889]","[0.45703216 0.55357564 0.51375881 0.40724991 0.65094214 0.51755935
 0.52485387 0.45379744 0.4828919 ]","[0.36643213 0.47873945 0.4048     0.48916158 0.4532041  0.72140562
 0.78773087 0.90457256 0.64945652]","[0.76440725 0.93718466 0.9091471  0.96008838 0.9123967  0.98006106
 0.98407002 0.99531042 0.97062304]","[0.4067481  0.51344497 0.45281709 0.44446331 0.53436698 0.60271312
 0.62996861 0.60439013 0.55392367]",0.8729386772143496,4.715160608291626,151.64623737335205

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Train,[232423  24772  51833  96880  58758  20746  22900  26255  61244],[150811  12413  12764  13205   4322   1304   1078   1094   4015],[384740 693557 695823 683814 696645 773672 769156 761151 714972],[28843 66075 36397  2918 37092  1095  3683  8317 16586],"[0.77453543 0.90149809 0.93830327 0.97976574 0.94802571 0.99698927
 0.99402498 0.98818926 0.97414588]","[0.88960293 0.27267824 0.58747592 0.97076094 0.61302034 0.94986493
 0.86145281 0.7594296  0.78689451]","[0.60647803 0.6661826  0.80240568 0.88004724 0.93148383 0.94086168
 0.95504212 0.95999854 0.93847592]","[0.7184003  0.9824171  0.98198669 0.98105504 0.99383423 0.99831737
 0.99860043 0.99856477 0.99441575]","[0.72125058 0.38696576 0.67832255 0.92318101 0.73941987 0.94534187
 0.90583651 0.84801602 0.85602667]",0.9701857202526879,52.30619668960571,825.0456657409668

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Validation,[57142  4855  6436  5186  3101   984   403  1737  3950],[89122  6414  7889  8356  4272  1454   715   516  2447],[ 50325 177301 174150 181502 185403 189576 197548 180446 182396],[ 8390 16409 16504  9935 12203 12965  6313 22280 16186],"[0.52428298 0.88865689 0.88099757 0.91076647 0.91962591 0.92965621
 0.96571356 0.88878861 0.90909801]","[0.87197095 0.22832017 0.28055798 0.34296674 0.20262676 0.07054269
 0.06000596 0.07232377 0.19616607]","[0.39067713 0.43082794 0.44928447 0.38295673 0.42058863 0.40360952
 0.36046512 0.77097204 0.61747694]","[0.3608898  0.96508723 0.95666313 0.95598816 0.97747726 0.99238863
 0.99639368 0.99714857 0.98676174]","[0.5395947  0.29846617 0.34541795 0.36186024 0.27349297 0.1200952
 0.10288486 0.1322421  0.29774243]",0.8080308292440646,9.60411548614502,825.0456657409668

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Test,[43024  5643  7263  7238  5329  8056  3293  3383  5857],[102212   5921   9418   9119   3986   1963    463    445   2149],[ 70930 197628 191214 196360 198221 202411 201546 204264 199846],[ 8596 15570 16867 12045 17226 12332 19460 16670 16910],"[0.50699851 0.9043833  0.88305407 0.90583818 0.90562462 0.93639939
 0.91135957 0.92385279 0.91520364]","[0.8334754  0.26601612 0.30099461 0.37535653 0.2362669  0.39513439
 0.14472817 0.16870294 0.25725831]","[0.29623509 0.48797994 0.43540555 0.44250168 0.57208803 0.80407226
 0.87673056 0.88375131 0.73157632]","[0.40966374 0.97091118 0.95305834 0.95562077 0.98028753 0.99039506
 0.99770802 0.99782618 0.98936112]","[0.43711139 0.34432681 0.35593345 0.40617284 0.33442109 0.52987799
 0.24844392 0.28332147 0.38065837]",0.8374566750914774,10.625312328338623,825.0456657409668

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Train,[208163  35104  76942  98135  86489  21692  25409  33148  77674],[60919 14566 20812  6512 10285  1456   624  2541 16346],[474632 691404 687775 690507 690682 773520 769610 759704 702641],[53103 55743 11288  1663  9361   149  1174  1424   156],"[0.85690315 0.91176268 0.95971471 0.98974043 0.9753444  0.99798574
 0.99774352 0.99502395 0.9792901 ]","[0.79674738 0.38640792 0.87206166 0.98333634 0.90233698 0.99317797
 0.95583644 0.9588106  0.99799563]","[0.77360433 0.70674451 0.78709823 0.93777175 0.89372145 0.9371004
 0.97603042 0.92880159 0.82614337]","[0.88624986 0.9793674  0.97062887 0.99065736 0.98532741 0.99812123
 0.99918986 0.99666643 0.97726524]","[0.78500532 0.49964061 0.82740451 0.9600137  0.89800856 0.96432461
 0.96582789 0.94356756 0.9039744 ]",0.9799948528513411,43.077887535095215,668.2088930606842

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Validation,[51248  7178  7796  3411  5451  1046   519  3072  8537],[62609  7357 18373  5414 10952  1687   722  1294  8313],[ 76838 176358 163666 184444 178723 189343 197541 179668 176530],[14284 14086 15144 11710  9853 12903  6197 20945 11599],"[0.62487377 0.89538928 0.83648569 0.91645973 0.8985018  0.92882198
 0.96624532 0.89150596 0.90285834]","[0.78203015 0.33756584 0.33984307 0.22558032 0.35618139 0.07498745
 0.07727814 0.1279094  0.42396702]","[0.45010847 0.49384245 0.29790974 0.38651558 0.33231726 0.3827296
 0.41821112 0.70361887 0.50664688]","[0.55101938 0.95995428 0.89907108 0.97148395 0.94225913 0.99116893
 0.99635837 0.99284933 0.9550267 ]","[0.57136168 0.40101679 0.31749781 0.284891   0.34383575 0.12540463
 0.13045118 0.2164676  0.46163413]",0.8160416206275336,7.6495444774627686,668.2088930606842

RefSeq,CNNLSTMNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Test,[33364  8081 12215  6324  9965  8950  4407  5095 10602],[66918  7174 23336  5861 10704  2129   374   469  8794],[106224 196375 177296 199618 191503 202245 201635 204240 193201],[18256 13132 11915 12959 12590 11438 18346 14958 12165],"[0.62104804 0.90965555 0.84316299 0.91626698 0.89636148 0.93963837
 0.9167119  0.93136295 0.90675025]","[0.64633863 0.38094565 0.50621633 0.32795727 0.44180891 0.43898372
 0.19368874 0.2540767  0.465674  ]","[0.33270178 0.52972796 0.3435909  0.51899877 0.48212299 0.80783464
 0.92177369 0.91570812 0.54660755]","[0.61350799 0.96475542 0.88368755 0.9714764  0.94706415 0.98958282
 0.9981486  0.99770894 0.95646427]","[0.43928322 0.44318306 0.40934301 0.40193212 0.46108643 0.56884991
 0.32011331 0.39778272 0.50290539]",0.8450279721876084,8.732553720474243,668.2088930606842

RefSeq,CNNNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Train,[202094  39844  43588  74556  71931  16872  23388  22585  69305],[113305  20449  11270  16755  25474   1413   9874   2154  31960],[422246 685521 697317 680264 675493 773563 760360 760091 687027],[59172 51003 44642 25242 23919  4969  3195 11987  8525],"[0.78354252 0.91032822 0.92983081 0.94729405 0.93801212 0.99199063
 0.98359849 0.98225314 0.9491916 ]","[0.77351818 0.43858355 0.49402697 0.74706908 0.75045383 0.7724921
 0.87981041 0.65327433 0.8904664 ]","[0.64075663 0.66083957 0.7945605  0.81650623 0.73847338 0.92272354
 0.70314473 0.912931   0.68439244]","[0.78843285 0.97103418 0.98409511 0.97596192 0.96365877 0.99817672
 0.98718052 0.99717414 0.95554857]","[0.70090607 0.52724626 0.60924746 0.78024583 0.74441541 0.840951
 0.78161918 0.7615788  0.77394679]",0.9571586237534301,27.607201099395752,168.05273342132568

RefSeq,CNNNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Validation,[48572  8316  7235  6459  8482  1273  1762  4717 13182],[49359  8114  6771  7518 11688   948  6583   930 13070],[ 90088 175601 175268 182340 177987 190082 191680 180032 171773],[16960 12948 15705  8662  6822 12676  4954 19300  6954],"[0.67645954 0.89724801 0.89034974 0.92106508 0.90969807 0.93353465
 0.94371619 0.90130696 0.90231194]","[0.74119514 0.39108352 0.31538797 0.42715429 0.55423419 0.09126102
 0.26235855 0.19640255 0.65464839]","[0.49598186 0.50614729 0.51656433 0.46211633 0.42052553 0.57316524
 0.2111444  0.83531078 0.50213317]","[0.64603756 0.95583376 0.96280467 0.96040198 0.93837881 0.99503743
 0.96679663 0.9948608  0.92929134]","[0.59428739 0.44123733 0.39165268 0.44394804 0.47820939 0.15745207
 0.23398181 0.31802859 0.56833664]",0.8600695683169521,3.768921375274658,168.05273342132568

RefSeq,CNNNet_RefSeq_One_hot_2_16_3_64_0,One_hot,21,16,64,3,0,512,0.001,10,Test,[31194  8566  8600  7892 14412  9258 11391  7164 15309],[53915  6636  8846  7770 14284  1728  3816   761 13220],[119227 196913 191786 197709 187923 202646 198193 203948 188775],[20426 12647 15530 11391  8143 11130 11362 12889  7458],"[0.66924569 0.91420703 0.8915475  0.91474982 0.9002189  0.94279282
 0.93247079 0.93926909 0.90800046]","[0.60430066 0.40380899 0.35640282 0.40927242 0.6389714  0.45409064
 0.50063728 0.35725328 0.67242061]","[0.36651823 0.56347849 0.49294967 0.50389478 0.50223028 0.8427089
 0.74906293 0.90397476 0.53661187]","[0.68860819 0.96739851 0.95590933 0.96218592 0.92935952 0.99154491
 0.98110975 0.99628253 0.93455284]","[0.45628945 0.47046547 0.41370021 0.45168121 0.56240854 0.5901702
 0.60015806 0.51211666 0.59688865]",0.8755418481527362,4.407244920730591,168.05273342132568

